Platform,Domain,Linkedin Company Page,Country,,Continent,Total,Max,Min,Months,,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2
Magento,https://wonect.com /,https://www.linkedin.com/search/results/all/?keywords=WONECT%20Co.%2C%20Ltd.,Singapore,,,"$6.500,00","$400,00","$100,00",16,,,,,,,,$100,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400
PrestaShop,https://portuguesa.cz/,no url,Czech Republic,,EU,"$6.450,00","$400,00","$50,00",16,,,,,,,,$50,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400
Magento,https://shop.nwzonline.de/,no url,Germany,,EU,"$3.600,00","$300,00","$200,00",15,,,,,,,,,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$300,$300,$300,$300
PrestaShop,https://techsky.eu/,no url,,Website is down,,"$3.200,00","$200,00","$200,00",15,,,,,,,,,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
Shopify,https://heart-cafe.co.uk/,https://www.linkedin.com/company/perfect-body-heart-cafe-ltd/,United Kingdom,,EU,"$20.900,00","$1.400,00","$1.200,00",15,,,,,,,,,$1.40,$1.40,$1.40,$1.40,$1.40,$1.40,$1.20,$1.20,$1.20,$1.20,$1.20,$1.30,$1.30,$1.30,$1.30,$1.30
Shopify,https://simonjamescathcart.com/,no url,,Couldn't find name of country,,"$21.300,00","$1.400,00","$1.300,00",15,,,,,,,,,$1.30,$1.30,$1.30,$1.30,$1.30,$1.30,$1.30,$1.30,$1.30,$1.30,$1.30,$1.40,$1.40,$1.40,$1.40,$1.40
PrestaShop,https://teknopedia.se/,no url,Sweden,,EU,"$4.600,00","$300,00","$200,00",15,,,,,,,,,$200,$200,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300
WooCommerce,https://dumbbell-exercises.com/,no url,,Couldn't find name of country,,"$650,00","$50,00","$0,00",12,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$ -,$ -,$ -
PrestaShop,https://artesaniakm0.es/,no url,Spain,,EU,"$1.600,00","$100,00","$100,00",15,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
PrestaShop,https://beautycowshop.cz/,https://cz.linkedin.com/company/wingtra?trk=ppro_cprof,Czech Republic,,EU,"$1.600,00","$100,00","$100,00",15,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
Magento,https://olumofoods.co.uk/,no url,United Kingdom,,EU,"$8.000,00","$500,00","$500,00",15,,,,,,,,,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500
Magento,https://curtmfg.com/,https://www.linkedin.com/showcase/curt-mfg/about/,United States,,,"$8.000,00","$500,00","$500,00",15,,,,,,,,,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500
Magento,https://peterstone.com/,https://sg.linkedin.com/company/peter-stone-company,United States,,,"$6.400,00","$400,00","$400,00",15,,,,,,,,,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400
Magento,https://verobrava.com/,no url,,Couldn't find name of country,,"$9.100,00","$600,00","$500,00",15,,,,,,,,,$500,$500,$500,$500,$500,$600,$600,$600,$600,$600,$600,$600,$600,$600,$600,$600
Magento,https://teslaamazing.com/,https://www.linkedin.com/company/tesla-amazing,United States,,,"$13.500,00","$1.200,00","$500,00",15,,,,,,,,,$500,$500,$500,$500,$500,$800,$800,$800,$800,$1.00,$1.00,$1.00,$1.20,$1.20,$1.20,$1.20
Magento,https://koeze.com/,https://www.linkedin.com/company/koeze-company,United States,,,"$8.000,00","$500,00","$500,00",15,,,,,,,,,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500
Magento,https://sweetstampshop.com/,https://www.linkedin.com/search/results/all/?keywords=Sweet%20Stamp%20Shop,United States,,,"$10.200,00","$700,00","$500,00",15,,,,,,,,,$500,$500,$500,$500,$500,$700,$700,$700,$700,$700,$700,$700,$700,$700,$700,$700
